,Tweets,,,
551,Grateful to the Bill & Melinda Gates Foundation for its valuable support in the public health & social sector programmes. The increase in number of confirmed polio cases in KP is deeply concerning. We are implementing a special emergency plan to improve our anti-polio response.,,,
552,"Martyrdom of 10 Palestinians including 5-year-old girl in Gaza is latest act of Israeli terrorism.If impunity & barbarism had a face, it would have been that of Israel, which has targeted Palestinians without any care for consequences.Pakistan strongly condemns Israeli airstrikes",,,
553,قمتُ بلقاءات عديدة في زيارتي إلى دولة قطر بتاريخ ٢٣-٢٤ أغسطس ٢٠٢٢م، التقيتُ بالقيادات القطرية، وكذلك رجال الأعمال القطريين والباكستانيين، وستستثمر #قطر (٣) مليارات دولار في قطاعات باكستانية مختلفة، وأتطلع إلى نتائج إيجابية لهذه الزيارة للبلدين الشقيقين.,,,
554,I assure my government’s unflinching support for rule of law and welfare of legal fraternity. 2/2,,,
555,آج میں نے پنجاب میں قائم  دانش سکولوں کی طرز پر بلوچستان میں جدید سہولیات سے آراستہ 12 نئے  دانش سکولوں کے قیام کا اعلان کیا ہے۔ یہ اسکولز غریب اور پسماندہ علاقوں سے تعلق رکھنے والے بچوں کے لئے علم و ہنر اور ترقی کی نئی راہیں تلاش کرنے میں مددگار ثابت ہوں گے۔,,,
556,"وَأَحسَنُ مِنكَ لَم تَرَ قَطُّ عَيني
وَأَجمَلُ مِنكَ لَم تَلِدِ النِساءُ

خُلِقتَ مُبَرَّءً مِن كُلِّ عَيبٍ
كَأَنَّكَ قَد خُلِقتَ كَما تَشاءُ

 آپ سب کو عید میلادالنبی صلی اللہ علیہ وآلہ وسلم بہت بہت مبارک!",,,
557,"In our meeting today, OIC Secretary General & I discussed Palestine, Afghanistan, rights violation in IIOJK & Islamophobia.I thanked the OIC for its consistent & principled support for Kashmiris in IIOJK. Pakistan will continue to work with OIC to promote our collective interests",,,
558,Let us make no mistake. Terrorism continues to be one of Pakistan's foremost problems. Our armed forces & police have valiently fought the scourge. No words are enough to condemn terrorists' attack on a police van in Lakki Marwat. My thoughts & prayers are with bereaved families.,,,
559,الیکشن کمشن نے توشہ خانہ ریفرنس میں انصاف کیا۔ قوم نے دیکھ لیا کہ کرپٹ پریکٹس کرکے وزیراعظم کے منصب کو ذاتی آمدنی کا ذریعہ بنایاگیا۔ “صداقت وامانت” کا بُت پاش پاش ہوگیا۔ قانون سے لڑنے، گولیاں،ڈنڈے چلانے / فسادی جتھے لانے کے بجائے قانون کے سامنے سر جھکائیں۔کوئی قانون سے بالا  نہیں,,,
560,"Congratulations 
@GiorgiaMeloni
 on success in the Italian general elections. I look forward to working closely with the new government for further strengthening  Pakistan- Italy  bilateral relations.  ",,,
561,Deeply moved by the example of an anonymous Pakistani who walked into Turkish embassy in the US & donated $30 million for earthquake victims in Türkiye & Syria. These are such glorious acts of philanthropy that enable humanity to triumph over the seemingly insurmountable odds.,,,
562,We acknowledge with thanks the United States' pledge of $ 100 million through USAID to support Pakistan's continued flood recovery & reconstruction efforts. The assistance from our friends & partners is crucial to help us build back better from the devastating floods.  ,,,
563,I have learnt with deep anguish about the explosion at popular Istiklal avenue in the heart of Istanbul. Govt & people of Pakistan express deepest condolences to the brotherly people of Turkiye at the loss of precious lives & send prayers for the speedy recovery of the injured.,,,
564,پچھلے حکومت کے مقابلے میں یہ بجٹ کئی طرح کی نمایاں بہتری دکھا رہا ہے۔نوجوانوں کو تعلیم کے زیادہ مواقع فراہم کئے گئے ہیں جن میں بلوچستان کو خاص طور پراہمیت دی گئی ہے۔معاشی طور پر کمزورطبقات کوسبسڈی دی گئی ہے۔سب سے اہم پہلو یہ ہے کہ امیروں کے غیرپیداواری اثاثوں پر ٹیکس لگادیاگیا ہے,,,
565,"Had the pleasure of meeting a high-powered Turkish delegation today led by Mr. 
@suleymansoylu
, Minister for Interior & Mr. 
@murat_kurum
, Minister for Environment, Urbanization and Climate Change. The delegation was here on the instruction of my brother H.E. President 
@RTErdogan
 >",,,
566,پوری قوم ماردر ملت محترمہ فاطمہ جناح کو پاکستان کیلئے خدمات اور تخلیقِ پاکستان میں قائداعظم کے لازوال ساتھ پر دلی خراجِ تحسین پیش کرتی ہے. مادرِ ملت ایثار، مقصد سے لگن اور بے لوث جدوجہد کا پیکر تھیں. انکی سیاسی جدوجہد اور عظیم کردار ہم سب کیلئے مشعل راہ ہے.,,,
567,We need to increase our exports and reduce imports to come out of recurrent balance of payment crisis. I proposed the public-private partnership as a way of involving our private sector in the conception & execution of development projects. This will bring in fresh ideas.,,,
568,"I congratulated @CMShehbaz on becoming Pakistan’s new Prime Minister.

Looking forward to deepening  cooperation across the board, especially in trade and climate action.",,,
569,Mian Nawaz Sharif is not just my leader and my elder brother but also someone who has been a pillar of strength for me throughout my life. His affection & love is a source of confidence and inspiration for me.,,,
570,"Kalsoom Bhabhi was a courageous & fearless woman. Dignified & soft-spoken, she fulfilled every role with near perfection. The moment one talked to her, one would be overwhelmed by her affection. She stood up for democracy & constitution when time needed.May her soul rest in peace",,,
571,"I would particularly commend the role & efforts of Foreign Minister Bilawal Bhutto, Army Chief General Qamar Javed Bajwa and their teams & all  political parties for putting up a united front to get Pakistan out of the grey list. Alhumdulillah!",,,
572,"Just spoke to Ubaid Nizamani  Head of Mission, Kabul. Relieved to hear that he is safe. I expressed solidarity of govt & people with him, while assuring full support & assistance to him & mission on all counts. I also conveyed prayers for swift recovery of brave security guard.",,,
